paperID,title,year,keywords,abstract,authors
,CUAP: A Software Package for the Codon Usage Patterns Analysis,2019,"Codon usage, synonymous codon, nuclear genes, eukaryotic genes, software, maximum likelihood estimation","Codon Usage Analysis Package (CUAP) is a web-based software for the analysis of eukaryotic nuclear codon usage patterns using Maximum Likelihood Estimation of the parameters of a Multinomial Distribution (MLEMD) as a new approach for estimating codon usage preference. It can calculate the codon usage based on MLEMD and outputs a codon usage table of DNA sequences that identifies the preferred codon per amino acid. Unlike other online tools that implements other indices in measuring the non-random usage of synonymous codons in a gene and between organisms, CUAP implements MLEMD approach that gives statistical analysis as evidenced by the calculated standard error after codon analysis. This software is developed using R, JavaScript, jQuery, HTML, CSS, and Bootstrap. It will be highly useful for biologists, statisticians and computer scientists involved in biological research. It can be accessed at https://mbb.pregi.net/cuap/","Almie Carajay, Jorge Gil Angeles, Rocky Marcelino, Maria Art Antonette Clari​ñ​o, Katrina Joy Abriol-Santos, Jaime Samaniego"
,Parameter Estimation of an S-system Model Using Hybrid Genetic Algorithm with the Aid of Sensitivity Analysis,2019,"S-system, sensitivity analysis, parameter estimation, genetic algorithm, interior point method",,"Jayrah Bena E. Riñon, Renier G. Mendoza, Victoria May Paguio Mendoza"
,Exceptional Learners Motivation for Better Performance thru Game-based Learning System,2019,"Exceptional learners, Motivation, Performance, Gamification, Learning system","Special education is a distinctive education provision, for students with disabilities and disorders. It aims to enhance the behavior of the students through giving reinforcements and many different teaching methods and strategies. Exceptional learners are those students with learning and behavior issues, having physical disabilities, and those intellectually talented. Computer game is progressively a part of the day-to-day activities of learners of all ages. There were researches that were cited that could support student motivation and learning that is why its implementation in the classroom can be very challenging. Gamification incorporates computer game elements like leaderboards, badges, and points into non-game contexts in order to take benefit of the motivation provided by an artificial intelligence environment. A study was conducted to find out to what extent gamification aids student motivation and accomplishment among exceptional learners. Incorporating elements of gamification into exceptional learners’ environments can support student motivation and achievement. Game-based learning resulted to increase of class participation and appearance, and it is absolutely correlated with student performance improvement. The user acceptability test was used to determine the proficiency of the system to help the teachers in teaching exceptional learners in the approach of their learning. To be able to test the acceptability of the developed system, the researchers floated an acceptability questionnaire to stakeholders where the target user enjoys exploring the content of the system. Based on their rating, the researchers motivated to enhance the functionality of the system. The target user strongly agrees with a ratio of 4.5, which means that the system has the functionality needed in their school process.","Christian dela Cruz, Thelma Palaoag"
,Augmented Reality Guided Assembly of Toy Robot,2019,"Augmented reality, assembly task, target objects, image targets, procedural skills, motor skills",,"Arvin Christopher Reyes, Neil Patrick Del Gallego"
,A Multimodal Route Recommendation System with Real-Time Traffic Information in most congested roads in Metro Manila using Text Analysis,2019,"multimodal public transportation, route recommendation,
Sakay.ph GTFS data, OpenTripPlanner, OpenStreetMap, Text
Analysis","The transportation network all over the world is still one of the prevailing concerns of the commuters. Most of the available route transportation system focused on finding the shortest path, the cheapest fare, or the safest route. Also, the number of developed multimodal public transportation recommendation system is lesser than the private or public unimodal transportation applications. To assist the commuters on having an efficient way of using the different mode of transport (PUJ, Bus, Train) in Metro Manila, Philippines, the researchers aim to develop an intelligent multimodal route recommendation system which focuses on the three best user’s commuting perspectives (three best shortest path, three cheapest fare, and real-time traffic updates). This application will be developed using the Open Trip Planner API, Open Street Map API, Sakay.ph GTFS data and text analysis. The proposed application has a server that collects the latest traffic related tweets of MMDA in the most congested road in Metro Manila (EDSA, Circumferential Road 5 and Commonwealth) and pre-processed using the text preprocessing techniques (tokenization, frequency counting, and removal of unnecessary characters). The cleaned data will be categorized into six topic segments (Day, Time, Lane of Road, Road Direction, Location and Trafffic Mode) using Latent Dirichlet Allocation. Also, this research differentiates four machine learning models (Naïve Bayes, Decision Tree, Random Tree, and
k-Nearest Neighbor) to identify the best performing algorithm in terms of classifying the traffic congestion modes (Light, Light to Moderate, Moderate, Moderate to Heavy, and Heavy). Based from the result of the experiment k-NN performed best performance among Naïve Bayes, Random Forest, and Decision Tree with an 84% classification accuracy in producing a reliable real-time traffic updates in Metro Manila, Philippines.","Erika Ritzelle P. Bondoc, Francis Percival M. Caparas, John Eddie D. Macias, Vileser T. Naculangga, Jheanel E. Estrada"
,A Randomized Data Obfuscation Approach for Cluster Analysis,2019,"data obfuscation, cluster analysis, column randomization, k-means, data visualization, cluster retention, inertia difference, multiparty obfuscation","Businesses nowadays rely on data because it can be turned into actionable insights that can lead to cost reduction, better decision making, and new products and services. With data analytics, businesses can gain a competitive advantage. However, there is a growing need to protect classified data such as business transactions and records. Privacy breaches caused by third parties may cause a lot of distrust in businesses if their data is ever mishandled. These attacks can be avoided through data obfuscation. Data obfuscation is a technique used to distort data in order to hide information. The data is purposely modified in order to prevent someone unauthorized to have access to classified information. This paper evaluates variations of the Column Randomization technique, which are 2-Column Randomization, M-Column Randomization, and N-Column Randomization. Two datasets were used in order to test the consistency of the results. Cluster analysis is used as the machine learning method against which these techniques are evaluated. Each variation of the technique is evaluated by measuring how close the resulting clusters of the original and the obfuscated data are and how hard it is to reverse the
obfuscated data using various criteria. Results show that the best case of the M-Column Randomization technique yields obfuscated data that is not only usable but is also hard to reverse. Results also show that the optimal delta in using this technique is 0.75 regardless of the importance of the columns to be obfuscated.","Gabriel K. De Jesus, Carlo D. Mendoza, Alyssa Nicole N. Ty, John Paul C. Vergara"
,A Genetic Algorithm for Optimal Multi-Floored Un-Equal Area Facility Layout Design Evaluated Using a Movement Cost Function,2019,,"This study is focused on developing a system that creates an Optimal Facility Layout by integrating an existing paper’s manual process of positioning departments to promote productivity into a modification of another paper’s Genetic Algorithm that solves the facility layout problem and evaluating layouts using a movement cost function. An optimal building layout for its
departments results in less foot-traffic which results in a lower movement cost. While there are already existing studies that used the Genetic Algorithm to solve the Facility Layout Problem, most of these systems generate layouts for only one floor, and with equal department dimensions. There are few studies that explore the generation of building layouts for arbitrary set floors and area dimensions. The integration of Padgaonkar’s [5] movement cost function to a modified version of Misola and Navarro’s [3] Genetic Algorithm results in a generic Genetic Algorithm that solves the Facility Layout Problem for facilities that are multi-floored and have un-equal area departments.","Katrina B. Calpito, David Jonathan L. Relacion, Juan Miguel C. Roman, Trisha Regine P. Wang, Cecil Jose A. Delfinado"
,Towards a Hybrid Buffer-map Exchange Mechanism for Mesh-pull P2P Music Streaming,2019,"peer-to-peer, media streaming, buffermap exchange",,"Albuen Jan Rosello, Victor Romero II"
,Design and Development of a Mobile Phone-Based Video Game as an Aid in Drug Awareness and Education,2019,"Video game, drug awareness, drug education, effect on society, rehabilitation, raise awareness, interactive, educate, cognitive behavioral approach, theory of multiple intelligences, simulation",,"Patricia Nicole Uy, Jayce Caylah Ching, Gener Angelo Lopez"
,Towards an Eye-tracking Study Determining Certain Aspects of Sight Reading Skills in Violinists,2019,"Sight-reading, Eye-tracking, Violinists","The notion of sight-reading, which is performing a music piece without any rehearsal beforehand, is considered as an essential skill among violinists, like other musicians. This is usually affected by both the experience of the musician and the sheet music he or she is playing. This experiment used eyetracking to check which elements in music slow down sight-reading speed. Results did show that not only two music elements but also prior experience slowed down and affected sight-reading speed of a certain musician.","Christian Chan, Jose Mirabueno, Justin San Pedro, Andrei Coronel"
,A Proposed Assessment Method for Algorithm Design Courses: An Exploratory Study in a Philippine Setting,2019,"algorithms, algorithmic thinking, computer science education",,"Neil Patrick Del Gallego, Raymund Sison"
,Effect of k-Degree Anonymization via the UMGA Algorithm on the Performance of Machine Learning Algorithms,2019,"k-degree anonymization, UMGA algorithm, artificial neural networks, naïve bayes, logistic regression",,"Mygel Andrei Martija, Neila Paglinawan, Henry Adorna"
,A Bayesian Network Knowledge Engineering and ValidaƟon using Structural and Parameter Learning for a C-based Intelligent Tutoring System,2019,"Bayesian networks, tutoring systems, structural learning
algorithms, parameter learning algorithms","This paper presents our design and knowledge engineering aspect of a C-based Intelligent Tutoring System (ITS) using Bayesian Networks (BNs). We present and compare two Bayesian Networks constructed using alternative methods: one was constructed manually using domain knowledge, and the other BN was constructed using structural learning algorithms. Both networks were designed using examination results collected from 80 student-respondents. This data was used by the parameter learning algorithm to determine the conditional probability distributions of the nodes. Our analysis after performing parameter learning algorithm have shown that the resulting BN's beliefs are close to the beliefs defined in the manually constructed BN. However the BN constructed using structural learning algorithms was substantially different and we present our findings in this paper.","Teresita C. Limoanco, John Paul S. Guzman, Raymund C. Sison"
,Categorical Emotion Classification from Code-Switched Facebook Messages using Sequential Minimal Optimization Support Vector Machine Algorithm,2019,"Social Media, Natural Language Processing, Classiffiers, Classiffication, Categorical Emotion, Chat Message Logs, K-NN, Naïve Bayes Multinomial, SMO SVM","Online communication such as chatting offers a challenging task for the field of natural language processing where grammar irregularities misspelled words and abbreviations are common Knowing that Filipinos are one of the most active users of social media the researchers were driven to study upon the detection of affect from messages that contain Filipino and English languages from Facebook. This research has formed a model with the help of a psychologist and two psychology graduates who have annotated the data gathered from the Facebook message logs of volunteers. The emotion categories were based from Plutchik's model In their default parameters the classiffiers: k-NN, Naïve Bayes Multinomial and SMO SVM were trained and tested with the help of RapidMiner and Weka extension. Among these, the SMO SVM was found to be the best performing classiffier. The resulting model can classify the emotions of the author from textual data containing Filipino and English words up to a substantial level of Kappa agreement.","Christian Dione Bergantin, Camille Bencito, Christian Paul Mirano, Larry Vea"
,Collatz One-Way Function as a Candidate Cryptographic Hash function,2019,"Collatz one-way function, cryptographic function, Damgard-Merkle construction",,"Jansen Keith Domoguen, Ruahden F. Dang-awan, Henry N. Adorna"
,Development of Convolutional Neural Modified Support Vector Machine (CNMSVM) Architecture for Satellite Imaging,2019,"Artificial intelligence, convolutional neural network, satellite image, support vector machine","Satellite Imaging is one of the challenging areas and field of study that promises powerful applications for disaster management, land interpretations, change detection and others. Through image processing and recognition with artificial intelligence theories and popular models such as deep learning, it is now possible to obtain various data that has many practical applications in the real world. One of the processes is image classification task, as applied in the study the researchers developed a proposed convolutional neural modified support vector machine architecture aimed at satellite image map classification. The dataset for testing is available from Kaggle using satellite images of the Amazon Rainforest to train multilabel classifier. The evaluation used the common and most used F2 score. Through extensive training and testing, the result achieve higher accuracy through training of the proposed CNMSVM model algorithm with an F2 score of 0. 90122 against base classifiers.","Edgar Bryan B. Nicart, Tony Y. T. Chan, Ruji P. Medina"
,Mango Variety Recognizer Using Image Processing and Artificial Neural Network,2019,"Backpropagation, moment invariants, texture analysis, thresholding","Mango (Mangifera indica L.) is considered in the Philippines as one of its most important fruit crops in terms of values and exports. Selecting the right variety of mango to plant is critical in mango production industry. Variety recognition is considered an essential tool for ensuring quality product. Human experts can do recognition but in their absence, technology cannot be put into good use. This paper developed a multilayer perceptron (MLP) type of neural network application that can identify a mango variety from a leaf image of any of the four predominant mango varieties of the Philippines: Carabao, Pico, Pahutan and Katchamita. Nine color features, nine textural features and seven Hu moments morphological features were extracted from each leaf image samples using different image processing techniques such as the automatic thresholding method of segmentation, median filter, dilation and erosion. The MLP has 25 neurons in the input layer, 50 neurons in the hidden layer and 4 neurons in the output layer. The recognizer was tested with 40 leaf images (10 samples for each variety) from the samples used in the training and 40 leaf images that were not used in the training. The test obtained an accuracy of 96%.","Winston M. Tabada, Jerik G. Beltran"
,Do friends collaborate and perform better? : A Pair Program Tracing and Debugging Eye Tracking Experiment,2018,"eye-tracking, collaboration, cross-recurrence quantification",,"Maureen M. Villamor, Ma. Mercedes T. Rodrigo"
,Dimensionality Reduction of Feature Word Vectors for Sentiment Classification of Philippine  Political Related Tweets,2018,"dimensionality reduction, distributed word representation, sentiment classification, principal component analysis, word2vec",,"Kristine Mae M. Adlaon, Judith J. Azcarraga"
,Understanding Factors that Afect User Activity in Social Games,2018,"daily active users, social virality, user retention, game analysis, data mining",,"Neil Patrick Del Gallego, Remedios de Dios Bulos"
,Analysis of Static Code Reading Patterns,2018,"eye-tracking, code reading, code reading patterns, scanpath, scanpath trend analysis",,"Christine Lourrine S. Tablatin, Ma. Mercedes T. Rodrigo"
,Facial Expressions Recognition in Filipino Sign Language: Classification using 3D Animation Units,2018,"Filipino sign language, facial expression recognition, animation units",,"Joanna Pauline Rivera, Clement Ong"
,Using Elliptic ElGamal Cryptosystem to Provide Privacy and Verifiability in Internet Voting,2018,"internet voting, homomorphic encryption, elliptical elgamal cryptosystem",,"Berwin Jarret T. Yu, Richard Bryann L. Chua"
,Search for Tweets: Implementing a Geolocation Approcimation Feature for Disaster Tweets,2018,"disaster management, tweets, latent semantic analysis/indexing, geolocation approximation",,"Irene Therese Bermejo, Jan Nicole Domingo, Dion Alfonso Velasco, John Cliford Rosales, Ma. Regina Estuar, Kennedy E. Espina"
,Natural Language Interface for SQL Query Generation using Recurrent Neural Network,2018,"natural language interface for databases, recurrent neural network, machine learning, machine translation",,"Nikko G. Cabang, Albert A. Vinluan, Jedidiah B. Constantino, Marc Angelo P. Martinez"
,Towards a Better Chord Recognition Algorithm Using Machine Learning Techniques,2018,,,"John Carlo A. Ariola, Jaymee A. Olaño, Mark Arthur A. Caro, III, John Sixto G. Santos"
,Exploring Voxel-based Morphological Operators for Automatic LEGO Model Construction,2018,,,"Jennifer C. Ureta, Conrado R. Ruiz Jr."
,Wireless Configuration of Wireless Sensor and Actuator Network,2018,,,"Patricia Anne Eugenio, Gregory Cu, Fritz Kevin Flores"
,Finding the Short Swap Distance for Decreasing Permutations,2018,,,"Marco C. Lucena, John Paul C. Vergara"
,Matrix Representation and Simulation Algorithm for Spiking Neural P Systems with Rules on Synapses,2018,,,"Ren Tristan dela Cruz, Dionne Peter P. Cailipan, Jym Paul A. Carandang,
Francis George C. Cabarle, Kelvin Buño, Nestine Hope S. Hernandez, Henry N. Adorna"
,Stylomitter: Using Extreme Learning Machines and Language-agnostic Approach to Author Classification,2018,,,"Shenamae Borja, John Ultra"
,An Exhaustive Rule-Based Affix Extraction for Stemming in Tagalog ,2018,,,"Laurenz Adriel Tolentino, Allan Borra"
,A regularized nonconvex model for image segmentation,2018,,,"Maryene B. Sy Piecco, Marrick C. Neri"
,Improving Smith-Waterman Local Alignment Algorithm Using Thread Parallelization In Java,2018,,,"Mary Grace Malana, Laurenz Adriel Tolentino, Roger Luis Uy"
,"Driver Drowsiness Monitoring and Alert System using Image Processing, Fuzzy Logic with Path finding",2018,,,"Amiel John B. Atienza, Art Maco T. Del Rosario, John Carlo R. Gonzales, Marc Angelo P. Martinez, Carlo Marco S. Ortiz"
,Matrix Representation of Spiking Neural P Systems with Structural Plasticity,2018,,,"Ren Tristan dela Cruz, Zechariah B. Jimenez, Francis George C. Cabarle, Henry N. Adorna, Kelvin Buño, Nestine Hope Hernandez, Jym Paul Carandang"
,Prediction of MRT-3 Passenger Entrance Volume using Support Vector Machines,2018,,,"John Eric Z. Sy, Macliing Gabriel Q. Aydinan, Prospero C. Naval, Jr."
,Designing Collaborative Applications using Usability Heuristics and Keystroke-Level Model,2018,,,"Nikko T. Borja, Ken V. Hosoya, Jared Luke C. Pangilinan, Mervin Stewart C. Uy, Rafael A. Cabredo"
,An Automatic Lead Sheet Generation of Melody and Chords from Singing Voice Using Melody Extraction and Chords Detection Algorithm,2018,,,Byran G. Dadiz
,Comparative Study of Detection-based Algorithms for Tracking Multiple Cars,2018,,,"Alquine Roy F. Taculin, Kardi Teknomo"
,Smart Flooring System Implementation for Movement Recognition through Low-Cost Force Sensitive Resistors,2018,,,"Baldip Bhuller, Fritz Kevin Flores, Joshua Manto, Arvin Medina, Naomi Mendaros"
,Comparing the Performance of a Hybrid Model Against a Single Model in Detecting DDoS Atacks,2018,,,"Jedidiah Caychingco, Gregory Cu"
,PollenEXT: Pollen Classification Using Extremely Randomized Trees,2018,,,"C.D.S. Ergina, V.M.II Romero"
,Quickgarde: A Plug-in for Detecting Cyberbullying Occurrences in Filipino Social Media Posts,2018,,,"Samantha G. Mallari, Faith I. Ballesteros, Eva R. Samillano, Paulo Miguel S. Capuz, Lorena R. Rabago, Ernesto C. Boydon"
,"2,000 Hours of Git and Databases: Raising the Bar forthe Minimum Standard of Database Backups in the Enterprise",2017,,,Jesus Vicente Roig
,CountApPH: Towards Machine-Assisted Auditing of Philippine Automated Election,2017,,,"Danen Clint Ocfemi, John D. Ultra"
,Clustering Sub-Saharan African and Filipino Adult Learners’ EEG Signals Towards Emotion Recognition,2017,,,"Vanlalhruaii Swansi, Judith Azcarraga"
,MMIPSS: Mobile-based MIPS64 Simulator,2017,,,"Charl Amaba, Darren Josef M. Kho, Angie M. Ceniza, Mark Isaiah Quevedo"
,SeeTrue – A Mobile Application for Recognizing Texts in Images through Optical Character Recognition,2017,,,"Heinrich Von P. Woogue, Kim Christian T. Cubillan, Mary Jane G. Sabellano"
,Comparative Study of Image Analysis and Classification on the Detection of Fusarium oxysporum f sp. cubense in Banana Leaves on Mobile Phones,2017,,,"Jose Emmanuel D. Torrijos, Adrian Cordero, Enrico Sison, Maria Regina Justina Estuar"
,Classifying Multi-Layered Attacks Using Correlation of Relevant Data in Network Access Technologies (Project Coordinate),2017,,,"Justin David Pineda, Joanna De Guzman, Adrian Tobias, Ruy Josel Verano, Jan Michael Bernardo"
,Global Alignment of Protein-Protein Interaction Networks Using Subgraph and Sequence Similarity,2017,,,"Camille C. Diez, Enrico M. Tria, John Paul C. Vergara"
,Corpus Annotation of Biomedical Journals for a Machine Learning Approach to Automatic Relation Extraction,2017,,,"Andrew Laron, Daniel Stanley Tan, Nathalie Rose Lim-Cheng, Angelyn Lao"
,Enhancing Mobile Stereoscopic 3D Experience with Face Detection,2017,,,Jose Enrico Tiongson
,A Model for Classification of Skin Lesions using Image Processing Techniques and Neural network,2017,,,"Joshua Zambales, Patricia Angela Abu"
,On the Effect of Translated and Personalized Dialogues in an Intelligent Game-Based Learning Environment,2017,,,"Joshua C. Martinez, May Marie P. Talandron, Jun Rangie C. Obispo"
,Towards a Private Cloud Infrastructure Implementation for a University delivering IT curriculum using OpenStack,2017,,,"Ray Carlo Añonuevo, Dea Ferrer, Fernito Llanita, Miguel Mercado, Danny C. Cheng"
,"Air Pollution Simulation in Baguio City, Philippines using Genetic Algorithm",2017,,,"Lee Javellana, Joel Addawe"
,Understanding the Acoustic Features of Adult Cry Vocalizations,2017,,,"Karl Joseph Centillo, John Raymound Lemuel Javier, Catherine Mae Peña,
Jian Michael Wu, Jocelynn Cu"
,Game-based Learning Through Heads-Up Displays and Narratives,2017,,,"Z. E. L. Arcega, M. T. Malit, J. L. Agapito"
,SkyLab : An extensible workflow web application for HPC on the cloud,2017,,,"Vincent Paul L. Carpio, Katrina Joy M. Abriol-Santos, Joseph Anthony C. Hermocilla"
,A Heuristic Intercluster Traffic Optimizer for Ideal Multicomputers,2017,,,Maureen M. Villamor
,Parameter Optimization of Vertical Decomposition with Genetic Algorithm for Multiple Sequence Alignment,2017,,,"Joel M. Addawe, Pierangela C. Gabriel"
,A Medical Counsel Generator from Multiple Source Documents,2017,,,"Nathalie Rose Lim-Cheng, Jonathan Yiu"
,Image Classification and Segregation of Environmental Waste using ORB,2017,,,"Christoffer F. Kho, Gian T. Salay, Marlene M. De Leon"
,MAG-Tagalog: A Rule-Based Tagalog Morphological Analyzer and Generator,2017,,,"Kristine Mae M. Adlaon, Charibeth Cheng, Maristella Aquino, Ervin Fernandez, Kevin Villanueva"
,visual Speech Recognition Using Convolutional Neural Networks and Long Short-term Memory with Transfer Learning,2017,,,"Ivy Ordanel, Henry Adorna"
,Building a Language Family Tree using Various Features,2017,,,"Angelica H. Dela Cruz, Maria Cristina P. Co, Adrian Martin S. Sy, Nathaniel Oco, Rachel Edita Roxas"
,Reoptimization of the Closest Substring Problem under Pattern Length Modification,2017,,,"Jhoirene B. Clemente, Henry N. Adorna"
,Signature Specimen Matching using ANN,2017,,,"Louie Lester E. Pascual, John Dinnex M. Valeros, Al Jamil L. Arazas, Allan A. Sioson"
,Analyzing Congestion Dynamics in Mass Rapid Transit using Agent-Based Modeling,2017,,,"Briane Paul V. Samson, Cymon Nicollo P. Marcaida, Eloisa Anne B. Gervasio, Ravi D. Militar, and Jerome Ibanez"
,Analysis of the Distribution of Traic Density Using the Ideal Flow Method and the Principle of Maximum Entropy,2017,,,"R.W. Gardon, Kardi Teknomo"
,Enhancing Intrusion Detection and Prevention Systems Using Software Defined Networking in a Distributed Topology,2017,,,"April Gale V. Guevara, Miguel Adrian C. Domingo, William Emmanuel Yu"
,Using Paillier Scheme to Provide Privacy and Verifiability in Internet Voting,2017,,,"Marvin Joseph R. Occeño, Richard Bryann L. Chua"
,Identification  and  Analysis  of  Critical  Nodes  in  the  Metro Manila Road Network along the West Valley Fault Line,2017,,,"Jan Renard L. Calalang, Kevin C. Henson, Benjamin Ryan B. Mendoza"
,A Comparative Analysis of Numerical Solutions for Solving Stellar Structure Equations,2017,,,"Joseph J. Bautista, Proceso  Fernandez, Jr."
,A Comparative Study of Image Equalization Techniques on Input For The Teknomo-Fernandez Algorithm,2017,,,"Javier Teodoro Flavier, Patricia Angela Abu"
,Developing Image Analysis Tools for Benthic Classification of Coral Reef Mosaic Images,2017,,,"Val Randolf M. Madrid, Maricor N. Soriano, Eliezer A. Albacea"
,Exploring Mathematical Modeling towards L-System Based Model for Leaf Vein Development,2017,,,"Maria Art Antonette Clariño, Eliezer A. Albacea"
,A modified inexact primal-dual method for removing multiplicative noise,2017,,,"Nicole Marie T. Del Rosario, Marrick C. Neri"
,Designing Traffic Signs:A CaseStudy on Driver Reading Patterns and Behavior,2016,,,"Jacob Chan, Paolo Gonzalez, Ella Mara Melanie Perez"
,Scan Paths on Event Posters: An Eye Tracking Experiment,2016,,,"Glen Charles Lopez, Jun Rangie Obispo, Mark Joseph Ronquillo"
,Performance Analysis of Different Combination of Training Algorithms and Activation Functions in Predicting the Next Day Electric Load,2016,,,"Lemuel Clark P. Velasco, Prinz Nikko C. Palahang, Christelle R. Villezas, Jerald Aldin A. Dagaang"
,Modeling Negative Affect Detector of Novice Programming  Students through Keyboard Dynamics and Mouse  Behavior,2016,,,"Larry Vea, Ma. Mercedes T. Rodrigo"
,Towards a Comparative Analysis between a Genetic Algorithm and Image-based Music Composition in Melody Generation Based on Image Mood,2016,,,"Isabel M. Constantino, Pia Melissa M. Encarnacion, Chiara Veronica D. Señires, Andrei D. Coronel"
,Towards Reducing Maternal Mortality through a Diet Recommender System,2016,,,"Nathalie Rose Lim-Cheng, Emmanuel Asuncion Jr., Aaron Jan Baldomar, William James Custodio and Yun Sup Lee"
,On the Center-Disjoint 2-Path Edge Packing Problem,2016,,,Kyle Stephen S. See
,Enhanced CLARANS Algorithm using Slim-tree Method,2016,,,"Ricardo Q. Camungao, Bobby D. Gerardo, Bartolome T. Tanguilig III"
,An Implementation of Computations in Evolution-Communication P systems with Energy Using Open Computing Language,2016,,,"Paul John O. Argarin, Neil Jonathan A. Joaquin, Richelle Ann B. Juayong, Nestine Hope S. Hernandez, Henry N. Adorna, Francis, George C. Cabarle"
,CuSNP: Improvements on GPU Simulations of Spiking Neural P Systems in CUDA,2016,,,"Jym Paul Carandang, John Matthew Villaflores, Francis George C. Cabarle, Henry N. Adorna"
,Automated Role Detection in Cyberbullying Incidents,2016,,,"Charibeth Cheng, Louie Anson Ng"
,SOODS: A Least Significant Bit Variant for Image Steganography,2016,,,"Lawrence Miguel Antonio, Cecil Jose Delfinado, Francis Jon Olaso, Joseph Ordillano, Novelle Anne Sinco, Warren Adam Sto. Tomas"
