Author 1,Author 2,ID 1,ID 2,Affiliation 1,Affiliation 2,Year,DOI,EID,General Areas,Specific Areas,AUID 1,AUID 2
Francis George C. Cabarle,Marj Darrel Calabia,53983599800,57201659474,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045563943,Theoretical Computer Science; Computer Science (all),MATH; COMP,AUID-53983599800,AUID-57201659474
Francis George C. Cabarle,Henry N. Adorna,53983599800,36573213900,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045563943,Theoretical Computer Science; Computer Science (all),MATH; COMP,AUID-53983599800,AUID-36573213900
Marj Darrel Calabia,Henry N. Adorna,57201659474,36573213900,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045563943,Theoretical Computer Science; Computer Science (all),MATH; COMP,AUID-57201659474,AUID-36573213900
Airah P. Osonio,Magdaleno R. Vasquez,57195756100,35115596700,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85046906999,Materials Science (all); Mechanics of Materials; Mechanical Engineering,MATE; ENGI,AUID-57195756100,AUID-35115596700
Alonzo Alulod Gabriel,Jeffrey M. Ostonal,10739105100,57201685843,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-10739105100,AUID-57201685843
Alonzo Alulod Gabriel,Jannelle O. Cristobal,10739105100,57201682869,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-10739105100,AUID-57201682869
Alonzo Alulod Gabriel,Gladess A. Pagal,10739105100,57201685398,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-10739105100,AUID-57201685398
Alonzo Alulod Gabriel,John Vincent E. Armada,10739105100,57201684128,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-10739105100,AUID-57201684128
Jeffrey M. Ostonal,Jannelle O. Cristobal,57201685843,57201682869,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-57201685843,AUID-57201682869
Jeffrey M. Ostonal,Gladess A. Pagal,57201685843,57201685398,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-57201685843,AUID-57201685398
Jeffrey M. Ostonal,John Vincent E. Armada,57201685843,57201684128,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-57201685843,AUID-57201684128
Jannelle O. Cristobal,Gladess A. Pagal,57201682869,57201685398,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-57201682869,AUID-57201685398
Jannelle O. Cristobal,John Vincent E. Armada,57201682869,57201684128,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-57201682869,AUID-57201684128
Gladess A. Pagal,John Vincent E. Armada,57201685398,57201684128,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045744950,Food Science; Microbiology,AGRI; IMMU,AUID-57201685398,AUID-57201684128
Dennis C. Ong,Sheila Mae B. Pingul-Ong,57196369746,56012344900,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85046124786,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-57196369746,AUID-56012344900
Dennis C. Ong,Mark Daniel G. De Luna,57196369746,36954504500,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85046124786,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-57196369746,AUID-36954504500
Sheila Mae B. Pingul-Ong,Mark Daniel G. De Luna,56012344900,36954504500,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85046124786,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-56012344900,AUID-36954504500
Luis F. Razón,Domingo A. Madulid,6507015899,6602284109,De La Salle University,De La Salle University,2018,nan,2-s2.0-85009289730,"Renewable Energy, Sustainability and the Environment; Waste Management and Disposal",ENER; ENVI,AUID-6507015899,AUID-6602284109
Luis F. Razón,Esperanza Maribel Guiao Agoo,6507015899,10042968300,De La Salle University,De La Salle University,2018,nan,2-s2.0-85009289730,"Renewable Energy, Sustainability and the Environment; Waste Management and Disposal",ENER; ENVI,AUID-6507015899,AUID-10042968300
Luis F. Razón,Ma Ellenita G. De Castro,6507015899,56572215100,De La Salle University,De La Salle University,2018,nan,2-s2.0-85009289730,"Renewable Energy, Sustainability and the Environment; Waste Management and Disposal",ENER; ENVI,AUID-6507015899,AUID-56572215100
Domingo A. Madulid,Esperanza Maribel Guiao Agoo,6602284109,10042968300,De La Salle University,De La Salle University,2018,nan,2-s2.0-85009289730,"Renewable Energy, Sustainability and the Environment; Waste Management and Disposal",ENER; ENVI,AUID-6602284109,AUID-10042968300
Domingo A. Madulid,Ma Ellenita G. De Castro,6602284109,56572215100,De La Salle University,De La Salle University,2018,nan,2-s2.0-85009289730,"Renewable Energy, Sustainability and the Environment; Waste Management and Disposal",ENER; ENVI,AUID-6602284109,AUID-56572215100
Esperanza Maribel Guiao Agoo,Ma Ellenita G. De Castro,10042968300,56572215100,De La Salle University,De La Salle University,2018,nan,2-s2.0-85009289730,"Renewable Energy, Sustainability and the Environment; Waste Management and Disposal",ENER; ENVI,AUID-10042968300,AUID-56572215100
Socorro Margarita T. Rodrigo,Cesar L. Villanoy,57201253563,12140071600,Ateneo De Manila University,University of the Philippines - Diliman,2018,nan,2-s2.0-85044059307,Water Science and Technology; Atmospheric Science; Earth and Planetary Sciences (miscellaneous),ENVI; EART,AUID-57201253563,AUID-12140071600
Socorro Margarita T. Rodrigo,Princess Hope T. Bilgera,57201253563,57140799700,Ateneo De Manila University,University of the Philippines - Diliman,2018,nan,2-s2.0-85044059307,Water Science and Technology; Atmospheric Science; Earth and Planetary Sciences (miscellaneous),ENVI; EART,AUID-57201253563,AUID-57140799700
Socorro Margarita T. Rodrigo,Olivia C. Cabrera,57201253563,36476134200,Ateneo De Manila University,University of the Philippines - Diliman,2018,nan,2-s2.0-85044059307,Water Science and Technology; Atmospheric Science; Earth and Planetary Sciences (miscellaneous),ENVI; EART,AUID-57201253563,AUID-36476134200
Cesar L. Villanoy,Princess Hope T. Bilgera,12140071600,57140799700,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85044059307,Water Science and Technology; Atmospheric Science; Earth and Planetary Sciences (miscellaneous),ENVI; EART,AUID-12140071600,AUID-57140799700
Cesar L. Villanoy,Olivia C. Cabrera,12140071600,36476134200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85044059307,Water Science and Technology; Atmospheric Science; Earth and Planetary Sciences (miscellaneous),ENVI; EART,AUID-12140071600,AUID-36476134200
Princess Hope T. Bilgera,Olivia C. Cabrera,57140799700,36476134200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85044059307,Water Science and Technology; Atmospheric Science; Earth and Planetary Sciences (miscellaneous),ENVI; EART,AUID-57140799700,AUID-36476134200
Kathleen B. Aviso,Raymond R. Tan,23491572600,56962727300,De La Salle University,De La Salle University,2018,nan,2-s2.0-85047441025,Civil and Structural Engineering; Building and Construction; Pollution; Mechanical Engineering; Industrial and Manufacturing Engineering; Electrical and Electronic Engineering,ENGI; ENVI,AUID-23491572600,AUID-56962727300
Maria Herminia M. Balgos,Rafael Buan Jaculbia,54885227600,25723390000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-54885227600,AUID-25723390000
Maria Herminia M. Balgos,Elizabeth Ann P. Prieto,54885227600,56110257200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-54885227600,AUID-56110257200
Maria Herminia M. Balgos,Arnel A. Salvador,54885227600,7103138362,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-54885227600,AUID-7103138362
Maria Herminia M. Balgos,Elmer Surat Estacio,54885227600,15135417200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-54885227600,AUID-15135417200
Maria Herminia M. Balgos,Armando Somintac,54885227600,6506821685,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-54885227600,AUID-6506821685
Rafael Buan Jaculbia,Elizabeth Ann P. Prieto,25723390000,56110257200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-25723390000,AUID-56110257200
Rafael Buan Jaculbia,Arnel A. Salvador,25723390000,7103138362,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-25723390000,AUID-7103138362
Rafael Buan Jaculbia,Elmer Surat Estacio,25723390000,15135417200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-25723390000,AUID-15135417200
Rafael Buan Jaculbia,Armando Somintac,25723390000,6506821685,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-25723390000,AUID-6506821685
Elizabeth Ann P. Prieto,Arnel A. Salvador,56110257200,7103138362,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-56110257200,AUID-7103138362
Elizabeth Ann P. Prieto,Elmer Surat Estacio,56110257200,15135417200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-56110257200,AUID-15135417200
Elizabeth Ann P. Prieto,Armando Somintac,56110257200,6506821685,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-56110257200,AUID-6506821685
Arnel A. Salvador,Elmer Surat Estacio,7103138362,15135417200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-7103138362,AUID-15135417200
Arnel A. Salvador,Armando Somintac,7103138362,6506821685,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-7103138362,AUID-6506821685
Elmer Surat Estacio,Armando Somintac,15135417200,6506821685,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85047667165,"Electronic, Optical and Magnetic Materials; Atomic and Molecular Physics, and Optics; Condensed Matter Physics; Electrical and Electronic Engineering",MATE; PHYS; ENGI,AUID-15135417200,AUID-6506821685
Noel T. Fortun,Eduardo R. Mendoza,57202587957,35237954200,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048765839,Chemistry (all); Applied Mathematics,CHEM; MATH,AUID-57202587957,AUID-35237954200
Noel T. Fortun,Luis F. Razón,57202587957,6507015899,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048765839,Chemistry (all); Applied Mathematics,CHEM; MATH,AUID-57202587957,AUID-6507015899
Noel T. Fortun,Angelyn Lao,57202587957,34976916500,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048765839,Chemistry (all); Applied Mathematics,CHEM; MATH,AUID-57202587957,AUID-34976916500
Eduardo R. Mendoza,Luis F. Razón,35237954200,6507015899,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048765839,Chemistry (all); Applied Mathematics,CHEM; MATH,AUID-35237954200,AUID-6507015899
Eduardo R. Mendoza,Angelyn Lao,35237954200,34976916500,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048765839,Chemistry (all); Applied Mathematics,CHEM; MATH,AUID-35237954200,AUID-34976916500
Luis F. Razón,Angelyn Lao,6507015899,34976916500,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048765839,Chemistry (all); Applied Mathematics,CHEM; MATH,AUID-6507015899,AUID-34976916500
Meng Nan Chong,Joey D. Ocon,24491709500,55353840400,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85044592368,Mechanics of Materials; Mechanical Engineering; Metals and Alloys; Materials Chemistry,ENGI; MATE,AUID-24491709500,AUID-55353840400
Angelee Fame Ramal,Josef Settele,56245861600,6602884936,University of the Philippines - Los Banos,University of the Philippines - Los Banos,2018,nan,2-s2.0-85048583146,Environmental Engineering; Agronomy and Crop Science; Water Science and Technology,ENVI; AGRI,AUID-56245861600,AUID-6602884936
Fernando P. Siringan,Erwin Don R. Racasa,6602595586,57202461774,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85048479653,"Ecology, Evolution, Behavior and Systematics; Aquatic Science; Ecology",AGRI; ENVI,AUID-6602595586,AUID-57202461774
Fernando P. Siringan,Carlos Primo Constantino David,6602595586,7401645192,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85048479653,"Ecology, Evolution, Behavior and Systematics; Aquatic Science; Ecology",AGRI; ENVI,AUID-6602595586,AUID-7401645192
Fernando P. Siringan,Rhodelyn C. Saban,6602595586,57202466993,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85048479653,"Ecology, Evolution, Behavior and Systematics; Aquatic Science; Ecology",AGRI; ENVI,AUID-6602595586,AUID-57202466993
Erwin Don R. Racasa,Carlos Primo Constantino David,57202461774,7401645192,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85048479653,"Ecology, Evolution, Behavior and Systematics; Aquatic Science; Ecology",AGRI; ENVI,AUID-57202461774,AUID-7401645192
Erwin Don R. Racasa,Rhodelyn C. Saban,57202461774,57202466993,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85048479653,"Ecology, Evolution, Behavior and Systematics; Aquatic Science; Ecology",AGRI; ENVI,AUID-57202461774,AUID-57202466993
Carlos Primo Constantino David,Rhodelyn C. Saban,7401645192,57202466993,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85048479653,"Ecology, Evolution, Behavior and Systematics; Aquatic Science; Ecology",AGRI; ENVI,AUID-7401645192,AUID-57202466993
Eugene A. Esparcia,Joey D. Ocon,57202046742,55353840400,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85046945829,Chemistry (all); Chemical Engineering (all); Materials Chemistry,CHEM; CENG; MATE,AUID-57202046742,AUID-55353840400
Donna A. Angeles,Raymond R. Tan,57195580599,56962727300,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-57195580599,AUID-56962727300
Donna A. Angeles,Kathleen B. Aviso,57195580599,23491572600,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-57195580599,AUID-23491572600
Donna A. Angeles,Kristian Ray Angelo G. Are,57195580599,57195576699,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-57195580599,AUID-57195576699
Donna A. Angeles,Luis F. Razón,57195580599,6507015899,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-57195580599,AUID-6507015899
Raymond R. Tan,Kathleen B. Aviso,56962727300,23491572600,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-56962727300,AUID-23491572600
Raymond R. Tan,Kristian Ray Angelo G. Are,56962727300,57195576699,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-56962727300,AUID-57195576699
Raymond R. Tan,Luis F. Razón,56962727300,6507015899,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-56962727300,AUID-6507015899
Kathleen B. Aviso,Kristian Ray Angelo G. Are,23491572600,57195576699,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-23491572600,AUID-57195576699
Kathleen B. Aviso,Luis F. Razón,23491572600,6507015899,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-23491572600,AUID-6507015899
Kristian Ray Angelo G. Are,Luis F. Razón,57195576699,6507015899,De La Salle University,De La Salle University,2018,nan,2-s2.0-85044717470,"Renewable Energy, Sustainability and the Environment; Environmental Science (all); Strategy and Management; Industrial and Manufacturing Engineering",ENER; ENVI; BUSI; ENGI,AUID-57195576699,AUID-6507015899
Lanz Uy,Patric Uy,57192988646,57192982715,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192988646,AUID-57192982715
Lanz Uy,Jhoenson Siy,57192988646,57192985344,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192988646,AUID-57192985344
Lanz Uy,Anthony Shun Fung Chiu,57192988646,57202363313,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192988646,AUID-57202363313
Lanz Uy,C. Sy,57192988646,57201554258,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192988646,AUID-57201554258
Patric Uy,Jhoenson Siy,57192982715,57192985344,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192982715,AUID-57192985344
Patric Uy,Anthony Shun Fung Chiu,57192982715,57202363313,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192982715,AUID-57202363313
Patric Uy,C. Sy,57192982715,57201554258,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192982715,AUID-57201554258
Jhoenson Siy,Anthony Shun Fung Chiu,57192985344,57202363313,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192985344,AUID-57202363313
Jhoenson Siy,C. Sy,57192985344,57201554258,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57192985344,AUID-57201554258
Anthony Shun Fung Chiu,C. Sy,57202363313,57201554258,De La Salle University,De La Salle University,2018,nan,2-s2.0-85048055801,Energy Engineering and Power Technology,ENER,AUID-57202363313,AUID-57201554258
Charissa M. Ferrera,Gil S. Jacinto,56974548400,6603167857,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85048134052,"Geography, Planning and Development; Renewable Energy, Sustainability and the Environment; Management, Monitoring, Policy and Law",SOCI; ENER; ENVI,AUID-56974548400,AUID-6603167857
Ramon delos Santos,Anthony R. Tuico,56798322500,57095041200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045245203,Radiation; Instrumentation; Condensed Matter Physics; Electrical and Electronic Engineering,PHYS; ENGI,AUID-56798322500,AUID-57095041200
Ramon delos Santos,Vernalyn C. Copa,56798322500,57095027400,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045245203,Radiation; Instrumentation; Condensed Matter Physics; Electrical and Electronic Engineering,PHYS; ENGI,AUID-56798322500,AUID-57095027400
Ramon delos Santos,Arnel A. Salvador,56798322500,7103138362,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,nan,2-s2.0-85045245203,Radiation; Instrumentation; Condensed Matter Physics; Electrical and Electronic Engineering,PHYS; ENGI,AUID-56798322500,AUID-7103138362
