address,affiliation-name,city,country,dc:identifier,prism:url
". Clara, corner Banawe Sts.",Philippine Orthopedic Center,Quezon City,Philippines,AFFILIATION_ID:100414609,https://api.elsevier.com/content/affiliation/affiliation_id/100414609
Davao City,University of Southeastern Philippines,,Philippines,AFFILIATION_ID:100418730,https://api.elsevier.com/content/affiliation/affiliation_id/100418730
Bacnotan,Don Mariano Marcos Memorial State University,Union,Philippines,AFFILIATION_ID:100419069,https://api.elsevier.com/content/affiliation/affiliation_id/100419069
"Silang, Cavite",International Institute of Rural Reconstruction,,Philippines,AFFILIATION_ID:100420415,https://api.elsevier.com/content/affiliation/affiliation_id/100420415
"Urumqi, 830002 China",The Center for Disease Control and Prevention of Xinjiang Uygur Autonomous Region,Urumqi,China,AFFILIATION_ID:100423636,https://api.elsevier.com/content/affiliation/affiliation_id/100423636
Sukamandi,Indonesian Center for Rice Research,,Indonesia,AFFILIATION_ID:100425441,https://api.elsevier.com/content/affiliation/affiliation_id/100425441
"128 M.3 Ban Pa Deng T. Pa Pae, A. Mae Taeng",Mushroom Research Foundation,Chaing Mai,Thailand,AFFILIATION_ID:100430572,https://api.elsevier.com/content/affiliation/affiliation_id/100430572
"1101 Commonwealth Avenue, Diliman, Quezon City",Philippine Eye Res. Inst.,Manila,Philippines,AFFILIATION_ID:100432706,https://api.elsevier.com/content/affiliation/affiliation_id/100432706
1100 N.W. 95th. ST,North Shore Medical Center,Miami,United States,AFFILIATION_ID:100433977,https://api.elsevier.com/content/affiliation/affiliation_id/100433977
P.O. Box 22274,International Potato Center,Kampala,Uganda,AFFILIATION_ID:100435945,https://api.elsevier.com/content/affiliation/affiliation_id/100435945
"1-18-1 Sumiyoshi, Koto-ku",Asoka Hospital,Tokyo,Japan,AFFILIATION_ID:100436720,https://api.elsevier.com/content/affiliation/affiliation_id/100436720
BP V 123,Ministry of Health,Abidjan,Cote d'Ivoire,AFFILIATION_ID:100436838,https://api.elsevier.com/content/affiliation/affiliation_id/100436838
Private Bag 13198,Ministry of Health and Social Services,Windhoek,Namibia,AFFILIATION_ID:100440896,https://api.elsevier.com/content/affiliation/affiliation_id/100440896
Ulaanbaatar,National Center for Communicable Diseases,Ulaanbaatar,Mongolia,AFFILIATION_ID:100440988,https://api.elsevier.com/content/affiliation/affiliation_id/100440988
Chinsurah,Rice Research Station,Hooghly,India,AFFILIATION_ID:100445604,https://api.elsevier.com/content/affiliation/affiliation_id/100445604
21 Willow Drive,Nasfine Photonics Inc.,New York,United States,AFFILIATION_ID:100446377,https://api.elsevier.com/content/affiliation/affiliation_id/100446377
31 Lebuhraya Taman,Ipoh Gastro Centre,Ipoh,Malaysia,AFFILIATION_ID:100447376,https://api.elsevier.com/content/affiliation/affiliation_id/100447376
"PO Box 8100, Causeway",National Herbarium and Botanic Garden,Harare,Zimbabwe,AFFILIATION_ID:100449929,https://api.elsevier.com/content/affiliation/affiliation_id/100449929
P.O. Box 138-6100,University for Peace,San Jose,Costa Rica,AFFILIATION_ID:100450154,https://api.elsevier.com/content/affiliation/affiliation_id/100450154
"Department of Fisheries, Kasetsart University Campus, Chatujak",Marine Fisheries Division,Bangkok,Thailand,AFFILIATION_ID:100455524,https://api.elsevier.com/content/affiliation/affiliation_id/100455524
Jalan Gombak,Faculty of Medicine,Kuala Lumpur,Malaysia,AFFILIATION_ID:100456811,https://api.elsevier.com/content/affiliation/affiliation_id/100456811
110 Inthavaroros Road,Research Institute for Health Sciences,Chaing Mai,Thailand,AFFILIATION_ID:100463082,https://api.elsevier.com/content/affiliation/affiliation_id/100463082
"BP 3, Pleubian",Centre d'Etude et de Valorisation des Algues,,France,AFFILIATION_ID:100463211,https://api.elsevier.com/content/affiliation/affiliation_id/100463211
"No. 31A, Rue de France (St. 47)",National Maternal and Child Health Center,Phnom Penh,Cambodia,AFFILIATION_ID:100469917,https://api.elsevier.com/content/affiliation/affiliation_id/100469917
"San Miguel Avenue, Pasig City",Ortigas Center,Pasig,Philippines,AFFILIATION_ID:100470468,https://api.elsevier.com/content/affiliation/affiliation_id/100470468
Vientiane,National Agriculture and Forestry Research Institute,Vientiane,Laos,AFFILIATION_ID:100471733,https://api.elsevier.com/content/affiliation/affiliation_id/100471733
"SC, 210 South Desplaines Street",Associates in Nephrology,Chicago,United States,AFFILIATION_ID:100473056,https://api.elsevier.com/content/affiliation/affiliation_id/100473056
Estrada do Repouso No. 33-35,Kiang Wu Hospital,Macau,Macao,AFFILIATION_ID:100473979,https://api.elsevier.com/content/affiliation/affiliation_id/100473979
"938 Aurora Blvd., Cubao",Technological Institute of the Philippines,Quezon City,Philippines,AFFILIATION_ID:100474346,https://api.elsevier.com/content/affiliation/affiliation_id/100474346
"Catarman, Northern Samar",University of Eastern Philippines,,Philippines,AFFILIATION_ID:100475193,https://api.elsevier.com/content/affiliation/affiliation_id/100475193
"Dr Meilach Burstein, Callao",Hospital Nacional,Lima,Peru,AFFILIATION_ID:100480114,https://api.elsevier.com/content/affiliation/affiliation_id/100480114
"286 Blumentritt St, Metro Manila, Sta. Cruz",Chinese General Hospital,Manila,Philippines,AFFILIATION_ID:100481156,https://api.elsevier.com/content/affiliation/affiliation_id/100481156
Labour and Social Affairs,Ministry of Health,Tbilisi,Georgia,AFFILIATION_ID:100483082,https://api.elsevier.com/content/affiliation/affiliation_id/100483082
"Boeung Keng Korng I Quarter, # 170 Preah Sihanouk Blvd.",National Center for HIV/AIDS,Phnom Penh,Cambodia,AFFILIATION_ID:100483315,https://api.elsevier.com/content/affiliation/affiliation_id/100483315
96 A Kievskaya St.,Ministry of Health,Bishkek,Kyrgyzstan,AFFILIATION_ID:100486740,https://api.elsevier.com/content/affiliation/affiliation_id/100486740
Makati City,Asian Eye Institute,Makati,Philippines,AFFILIATION_ID:100486958,https://api.elsevier.com/content/affiliation/affiliation_id/100486958
Kurokawa,Kurokawa Hospital,Miyagi,Japan,AFFILIATION_ID:100494610,https://api.elsevier.com/content/affiliation/affiliation_id/100494610
Khorfakkan,Khorfakkan Hospital,Sharjah,United Arab Emirates,AFFILIATION_ID:100496307,https://api.elsevier.com/content/affiliation/affiliation_id/100496307
"Khumaltar, Lalitpur",NARC,Kathmandu,Nepal,AFFILIATION_ID:100497181,https://api.elsevier.com/content/affiliation/affiliation_id/100497181
Kiinamyllynkatu 10,Paavo Nurmi Centre,Abo (Turku),Finland,AFFILIATION_ID:100497307,https://api.elsevier.com/content/affiliation/affiliation_id/100497307
"PC, 1303 D'Antignac St",Nephrology Associates,Augusta,United States,AFFILIATION_ID:100499695,https://api.elsevier.com/content/affiliation/affiliation_id/100499695
Via Domitiani,S. Maria delle Grazie Hospital,Pozzuoli,Italy,AFFILIATION_ID:100499784,https://api.elsevier.com/content/affiliation/affiliation_id/100499784
"Yezin, Nay Pyi Taw",Yezin Agricultural University,,Myanmar,AFFILIATION_ID:100500106,https://api.elsevier.com/content/affiliation/affiliation_id/100500106
"Kathmandu, Teku",National Public Health Laboratory,Kathmandu,Nepal,AFFILIATION_ID:100500793,https://api.elsevier.com/content/affiliation/affiliation_id/100500793
Los Banos,College of Engineering and Agro-Industrial Technology,Laguna,Philippines,AFFILIATION_ID:100502686,https://api.elsevier.com/content/affiliation/affiliation_id/100502686
"Avenida Balboa, calle 34, Bella Vista, Panama",Hospital del Niño de Panamá,,Panama,AFFILIATION_ID:100503764,https://api.elsevier.com/content/affiliation/affiliation_id/100503764
Sta. Mesa,Our Lady of Lourdes Hospital,Manila,Philippines,AFFILIATION_ID:100506248,https://api.elsevier.com/content/affiliation/affiliation_id/100506248
1398 Shimami-cho,School of Health Sciences,Niigata,Japan,AFFILIATION_ID:100506296,https://api.elsevier.com/content/affiliation/affiliation_id/100506296
"Sosa Bon 2-dong, Sosa-ku, Bucheon-shi",Sejong General Hospital,Seoul,South Korea,AFFILIATION_ID:100506763,https://api.elsevier.com/content/affiliation/affiliation_id/100506763
Lincoln Park Zoo,Davee Center for Epidemiology and Endocrinology,Chicago,United States,AFFILIATION_ID:100507291,https://api.elsevier.com/content/affiliation/affiliation_id/100507291
Manila,Philippine Cancer Society Inc,Manila,Philippines,AFFILIATION_ID:100511661,https://api.elsevier.com/content/affiliation/affiliation_id/100511661
"Tainan, Taiwan, China",Chia Nan University of Pharmacy and Science,Tainan,China,AFFILIATION_ID:100512057,https://api.elsevier.com/content/affiliation/affiliation_id/100512057
"General Santos Avenue, Bicutan, Taguig",Metals Industry Research and Development Center,Manila,Philippines,AFFILIATION_ID:100512167,https://api.elsevier.com/content/affiliation/affiliation_id/100512167
73 boulevard Monivong,University of Health Sciences,Phnom Penh,Cambodia,AFFILIATION_ID:100512832,https://api.elsevier.com/content/affiliation/affiliation_id/100512832
"Puerto Princesa City, Palawan",Western Philippines University,,Philippines,AFFILIATION_ID:100513085,https://api.elsevier.com/content/affiliation/affiliation_id/100513085
Gorordo Ave.,Perpetual Succour Hospital,Cebu,Philippines,AFFILIATION_ID:100516455,https://api.elsevier.com/content/affiliation/affiliation_id/100516455
"74 West Hill, Wembley Park",Independent Consultant,London,United Kingdom,AFFILIATION_ID:100519904,https://api.elsevier.com/content/affiliation/affiliation_id/100519904
"Jagna, Bohol",Central Visayan Institute Foundation,,Philippines,AFFILIATION_ID:100520065,https://api.elsevier.com/content/affiliation/affiliation_id/100520065
P.O. Box 01,Cambodian Agricultural Research and Development Institute,Phnom Penh,Cambodia,AFFILIATION_ID:100523254,https://api.elsevier.com/content/affiliation/affiliation_id/100523254
Pitampura,Max Hospital,New Delhi,India,AFFILIATION_ID:100524898,https://api.elsevier.com/content/affiliation/affiliation_id/100524898
"RD3, Clements Road",Blue Water Marine Research,Whangarei,New Zealand,AFFILIATION_ID:100526033,https://api.elsevier.com/content/affiliation/affiliation_id/100526033
Bajram Curri Blvd.,Ministry of Health,Tirana,Albania,AFFILIATION_ID:100526777,https://api.elsevier.com/content/affiliation/affiliation_id/100526777
Katipunan Road,Miriam College,Quezon City,Philippines,AFFILIATION_ID:100527476,https://api.elsevier.com/content/affiliation/affiliation_id/100527476
"Beijing, China",Beijing United Family Hospital,Beijing,China,AFFILIATION_ID:100535125,https://api.elsevier.com/content/affiliation/affiliation_id/100535125
,University of Padjadjaran,Jakarta,Indonesia,AFFILIATION_ID:100537105,https://api.elsevier.com/content/affiliation/affiliation_id/100537105
Yangon,Ministry of Agriculture and Irrigation,,Myanmar,AFFILIATION_ID:100537580,https://api.elsevier.com/content/affiliation/affiliation_id/100537580
"San Marcelino St., corner Gonzales St., Ermita",Emilio Aguinaldo College of Medicine,Manila,Philippines,AFFILIATION_ID:100542156,https://api.elsevier.com/content/affiliation/affiliation_id/100542156
Gazcue,Hospital Maternidad Nuestra Señora de la Altagracia,Santo Domingo,Dominican Republic,AFFILIATION_ID:100550409,https://api.elsevier.com/content/affiliation/affiliation_id/100550409
"House # 496, Road # 32, New DOHS, Mohakhali",Institute of Water Modelling,Dhaka,Bangladesh,AFFILIATION_ID:100552636,https://api.elsevier.com/content/affiliation/affiliation_id/100552636
"PO Box 776, Bulawayo",International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),,Zimbabwe,AFFILIATION_ID:100554424,https://api.elsevier.com/content/affiliation/affiliation_id/100554424
"Rodovia Dom Pedro I, km 47",Instituto de Pesquisas Ecológicas,Nazare Paulista,Brazil,AFFILIATION_ID:100554569,https://api.elsevier.com/content/affiliation/affiliation_id/100554569
Guadalupe,Chong Hua Hospital,Cebu,Philippines,AFFILIATION_ID:100558591,https://api.elsevier.com/content/affiliation/affiliation_id/100558591
Cavite,Salle University-Dasmariñas,,Philippines,AFFILIATION_ID:100561364,https://api.elsevier.com/content/affiliation/affiliation_id/100561364
,Biostatistics Consultant,Minot,United States,AFFILIATION_ID:100562789,https://api.elsevier.com/content/affiliation/affiliation_id/100562789
8101 East Lowry Boulevard #230,Private Practice,Denver,United States,AFFILIATION_ID:100568873,https://api.elsevier.com/content/affiliation/affiliation_id/100568873
Jalan Kesehatan Sekip Bulaksumur,Sardjito General Hospital,Yogyakarta,Indonesia,AFFILIATION_ID:100569642,https://api.elsevier.com/content/affiliation/affiliation_id/100569642
"5023, Miagao, Iloilo",University of Philippines Visayas,,Philippines,AFFILIATION_ID:100571957,https://api.elsevier.com/content/affiliation/affiliation_id/100571957
"Jagna, Bohol 6308",Central Visayan Institute Foundation,,Philippines,AFFILIATION_ID:100575108,https://api.elsevier.com/content/affiliation/affiliation_id/100575108
Gombak,IIUM,,Malaysia,AFFILIATION_ID:100575753,https://api.elsevier.com/content/affiliation/affiliation_id/100575753
"University Parkway, Fort Bonafacio, Taguig",International School Manila,Manila,Philippines,AFFILIATION_ID:100580761,https://api.elsevier.com/content/affiliation/affiliation_id/100580761
"Bogota, D.C.",Instituto Nacional de Cancerología,Bogota,Colombia,AFFILIATION_ID:100581924,https://api.elsevier.com/content/affiliation/affiliation_id/100581924
"Palo, Leyte",Schistosomiasis Research and Training Center,,Philippines,AFFILIATION_ID:100586563,https://api.elsevier.com/content/affiliation/affiliation_id/100586563
Pasig City,University of Manila,Manila,Philippines,AFFILIATION_ID:100589935,https://api.elsevier.com/content/affiliation/affiliation_id/100589935
Madang,New Guinea Binatang Research Center,,Papua New Guinea,AFFILIATION_ID:100590188,https://api.elsevier.com/content/affiliation/affiliation_id/100590188
Azimpur,National Institute of Population Research and Training (NIPORT),Dhaka,Bangladesh,AFFILIATION_ID:100594515,https://api.elsevier.com/content/affiliation/affiliation_id/100594515
"Echague, Isabela",Isabela State University,Isabella,Philippines,AFFILIATION_ID:100594906,https://api.elsevier.com/content/affiliation/affiliation_id/100594906
1213 Purchase Street,Massachusetts Division of Marine Fisheries,New Bedford,United States,AFFILIATION_ID:100598336,https://api.elsevier.com/content/affiliation/affiliation_id/100598336
"PO Box 170, Laksi",Wildlife Conservation Society,Bangkok,Thailand,AFFILIATION_ID:100599988,https://api.elsevier.com/content/affiliation/affiliation_id/100599988
Los Banos,Forest Products Research and Development Institute,Laguna,Philippines,AFFILIATION_ID:100603644,https://api.elsevier.com/content/affiliation/affiliation_id/100603644
Kasugade-naka 1-22-12,Osaka Gyoumeikan Hospital,Osaka,Japan,AFFILIATION_ID:100603899,https://api.elsevier.com/content/affiliation/affiliation_id/100603899
,Tupua Tamasese Meaole Hospital,,Samoa,AFFILIATION_ID:100605014,https://api.elsevier.com/content/affiliation/affiliation_id/100605014
"San Andres, Malate",Bureau of Plant Industry,Manila,Philippines,AFFILIATION_ID:100607855,https://api.elsevier.com/content/affiliation/affiliation_id/100607855
Yangon,Yangon Children's Hospital,,Myanmar,AFFILIATION_ID:100609123,https://api.elsevier.com/content/affiliation/affiliation_id/100609123
Lepapaigalagala Campus Toomatagi,National University of Samoa,,Samoa,AFFILIATION_ID:100610119,https://api.elsevier.com/content/affiliation/affiliation_id/100610119
1-1-1 Yuraku-cho,NLI Research Institute,Tokyo,Japan,AFFILIATION_ID:100611593,https://api.elsevier.com/content/affiliation/affiliation_id/100611593
Baguio City,Manila Observatory,Manila,Philippines,AFFILIATION_ID:100613370,https://api.elsevier.com/content/affiliation/affiliation_id/100613370
Maharajgunj,Kanti Children's Hospital,Kathmandu,Nepal,AFFILIATION_ID:100613857,https://api.elsevier.com/content/affiliation/affiliation_id/100613857
San Juan City,Cardinal Santos Medical Center,San Juan,Philippines,AFFILIATION_ID:100624745,https://api.elsevier.com/content/affiliation/affiliation_id/100624745
"Midland Way, Thornbury",Meningitis Research Foundation,Bristol,United Kingdom,AFFILIATION_ID:100631903,https://api.elsevier.com/content/affiliation/affiliation_id/100631903
Mrican,University of Sanata Dharma,Yogyakarta,Indonesia,AFFILIATION_ID:100635282,https://api.elsevier.com/content/affiliation/affiliation_id/100635282
9100 Park West Drive,American College of Acupuncture and Oriental Medicine,Houston,United States,AFFILIATION_ID:100635583,https://api.elsevier.com/content/affiliation/affiliation_id/100635583
"Roxas City, Capiz 5800",Provincial Health Office,,Philippines,AFFILIATION_ID:100635701,https://api.elsevier.com/content/affiliation/affiliation_id/100635701
"Av. Universidad no. 655, Col. Santa-Maria Ahuacatitlan",National Institute of Public Health,Cuernavaca,Mexico,AFFILIATION_ID:100635862,https://api.elsevier.com/content/affiliation/affiliation_id/100635862
Vientiane,International Water Management Institute,Vientiane,Laos,AFFILIATION_ID:100644830,https://api.elsevier.com/content/affiliation/affiliation_id/100644830
9 Avenida 8-00 Zona,Unidad Nacional de Oncología Pediátrica,Guatemala City,Guatemala,AFFILIATION_ID:100646599,https://api.elsevier.com/content/affiliation/affiliation_id/100646599
Islamabade,Oncology and Radiotherapy Institute,,Pakistan,AFFILIATION_ID:100671745,https://api.elsevier.com/content/affiliation/affiliation_id/100671745
"Kita 2-23, Rinkuourai Izumisanoshi",Rinku General Medical Center,Osaka,Japan,AFFILIATION_ID:100678603,https://api.elsevier.com/content/affiliation/affiliation_id/100678603
"Guangzhou 510650, China",Botanical Garden,Guangzhou,China,AFFILIATION_ID:100688795,https://api.elsevier.com/content/affiliation/affiliation_id/100688795
179 Longwood Avenue,MCPHS University,Boston,United States,AFFILIATION_ID:100689221,https://api.elsevier.com/content/affiliation/affiliation_id/100689221
"North Avenue, Diliman",Veterans Memorial Medical Center,Quezon City,Philippines,AFFILIATION_ID:100699588,https://api.elsevier.com/content/affiliation/affiliation_id/100699588
"No. 1, Dinh Bang, Tu Son, Bac Ninh",Research Institute for Aquaculture,Nha Trang,Viet Nam,AFFILIATION_ID:100708336,https://api.elsevier.com/content/affiliation/affiliation_id/100708336
Runanga Whakapiki Ake i te Hauora o Aotearoa,Health Promotion Forum of New Zealand,Auckland,New Zealand,AFFILIATION_ID:100710390,https://api.elsevier.com/content/affiliation/affiliation_id/100710390
Hang Chuoi Street,Natl. Inst. Agric. Plan. Projection,Hanoi,Viet Nam,AFFILIATION_ID:100715550,https://api.elsevier.com/content/affiliation/affiliation_id/100715550
"78 Giai Phong, Dong Da",Oxford University Clinical Research Unit,Hanoi,Viet Nam,AFFILIATION_ID:100723954,https://api.elsevier.com/content/affiliation/affiliation_id/100723954
"DAP Building, Pasig City",Commission on Higher Education,Quezon City,Philippines,AFFILIATION_ID:100725932,https://api.elsevier.com/content/affiliation/affiliation_id/100725932
"1 West Hill School Road, Richford",Natural Area Consultants,,United States,AFFILIATION_ID:100729878,https://api.elsevier.com/content/affiliation/affiliation_id/100729878
South East Asia Regional Office,WHO,New Delhi,India,AFFILIATION_ID:100751622,https://api.elsevier.com/content/affiliation/affiliation_id/100751622
"Dasmarinas, Cavite",Salle University Medical Center,,Philippines,AFFILIATION_ID:100752363,https://api.elsevier.com/content/affiliation/affiliation_id/100752363
Veteranov Prospect 56,City Clinical Oncology Dispensary,Saint Petersburg (ex Leningrad),Russian Federation,AFFILIATION_ID:100764932,https://api.elsevier.com/content/affiliation/affiliation_id/100764932
B. Rodriguez street,Vicente Sotto Memorial Medical Center,Cebu,Philippines,AFFILIATION_ID:100766786,https://api.elsevier.com/content/affiliation/affiliation_id/100766786
