article-number,authkeywords,citedby-count,dc:creator,dc:description,dc:identifier,dc:title,eid,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:doi,prism:isbn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,subtype,subtypeDescription
,Academic goal | K to 12 education | Outcome expectations | Past performance | Self-efficacy | Social-cognitive career theory,0,Catedrilla J.,"© 2019 International Conference on Computers in Education, Proceedings.All right reserved. The implementation of the K to 12 Basic Education program in the Philippines included the addition of senior high school (SHS), grades 11 and 12, which aims to equip students with skills that would help prepare them for the workplace, higher education or entrepreneurship. The Department of Education (DepEd) states that from the 1.2 million SHS graduates as of the end of SY 2017-2018, around half are expected to proceed to college. This study aims to look at the effectiveness of the SHS program, in terms of preparing the students for higher education. Specifically, the study focused on students enrolled in an information technology education (ITE) degree program and how their SHS program contributed to readiness for college. The survey method was used to the first-year college students from both private and state universities. The results of the survey show that past performance and computer self-efficacy positively influence academic goals, which in turn positively influences the technology outcome expectations. However, the results show that technology outcome expectations do not significantly influence the achievement of academic goals.",SCOPUS_ID:85077723652,Impact of the STEM program on information technology college students’ goals: Perspectives from the Philippines,2-s2.0-85077723652,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721431'}]",,,774-776,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077723652,1,,cp,Conference Paper
,Computing education | Digital natives | IT education | K-12 education | Theory of reasoned action,0,Ebardo R.,"© 2019 International Conference on Computers in Education, Proceedings.All right reserved. The rising technology sector in the Philippines has called for a holistic structural reform in its educational system through the implementation of the K-12 program. As such, higher educational institutions are in constant quest to look for strategies to increase enrollment in their Information Technology programs. To be effective, educational institutions must understand individual perceptions towards pursuing an IT degree in higher education. This paper presents the results of a study among senior high school student, who are one of the first recipients of the newly implemented system of education. Using additional constructs to the established Theory of Reasoned Action, a survey instrument was deployed in two higher educational institutions and gathered a total of 431 responses. Using Partial Least Squares – Structural Equation Model, results revealed that computer self-efficacy and job availability does not positively influence the attitude towards an IT degree at a significant level. The study also confirmed prior research that job salary and social image are primary factors that positively influence the attitude of students. Aligned with the findings of other research, attitude and social norms are strong predictors of the behavioral intention of students to pursue an IT degree. The paper concludes by suggesting theoretical, educational and social implications of the study and acknowledging its limitations.",SCOPUS_ID:85077693880,Factors affecting the behavioral intention of K-12 students to pursue an IT degree in a transitioning educational system,2-s2.0-85077693880,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721431'}]",,,710-719,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077693880,1,,cp,Conference Paper
,Comprehension | Digital games | Engagement | English proficiency | Filipino learners | Motivation | Reading | Second language learning,1,Moreno M.,"© ICCE 2019 - 27th International Conference on Computers in Education, Proceedings. All rights reserved. This paper presents the testing and development of Learning Likha, an English language-based digital game for Filipino learners from 9- to 12-years old. The game focuses on the literacy skill of noting explicit details while incidentally learning about Filipino culture. In an in-vivo pilot test, we measured student comprehension and engagement. We found that the students who performed better and had greater confidence enjoyed using the software but were less engaged than those who performed more poorly.",SCOPUS_ID:85077673412,Development and testing of a mobile game for English proficiency among Filipino learners,2-s2.0-85077673412,CHED,undefined,British Council,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721448'}]",,,246-251,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077673412,2,,cp,Conference Paper
,Android Notifications | Mobile Learning | Usability,0,Herras I.,"© 2019 International Conference on Computers in Education, Proceedings.All right reserved. Mobile devices are increasingly becoming more pervasive and emerging as part of our daily life, particularly with university students. From these devices developed in tandem with face-to-face class interaction it has opened new possibilities for ubiquitous learning. We present our work on designing a smart-phone Mobile Learning application that streamlines pre-test questions into a “set it then forget it” input system where students can answer quiz items as slide-down notifications within the day prior to a scheduled lecture. Teachers are afforded a web application to create pre-tests in advance and review class scores. The study was conducted to first-year Computer Science and Information Technology students of a university in the Philippines. Data collection techniques used in the study used experience questionnaires, usability tests, interviews, and tests of student learning outcomes. Usability testing showed consistent satisfactory scores across three iterations. Results from the Learning Experience questionnaire maps to the general answers from the focused group discussion presenting indicative of a positive learning experience. Evaluation of the pre and post test scores signified that using the mobile application can be an effective substitute to class administered tests.",SCOPUS_ID:85077702493,Designing pre-test questions as phone notifications: Studying the effects of a mobile learning intervention.,2-s2.0-85077702493,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721431'}]",,,447-452,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077702493,1,,cp,Conference Paper
,Collaboration | Instant messaging | Social influence | Social presence | Theory of reasoned action,0,Ebardo R.,"© ICCE 2019 - 27th International Conference on Computers in Education, Proceedings. All rights reserved. The ubiquity and mobility of mobile technologies have led to the proliferation of instant messaging apps, which have become a primary choice of communication mode among students. This trajectory gives birth to various affordances which presents opportunities for research on how these tools can support learning beyond the walls of traditional classrooms by facilitating group collaboration. While prior studies focused on examining the technological factors in the use of collaboration tools, other researches revealed that social factors are equally important. In this paper, we contribute to the dearth of research in exploring social dimensions as antecedents of usage continuance of collaboration tools. A total of 168 students participated in an empirical study which revealed social influence and social presence as predictors of positive attitude towards instant messaging tools for collaboration. Further analysis of data establishes social influence as the strongest indicator of usage continuance. However, contrary to prior research, social influence does not predict social presence. Future research, implications for the academe and limitations of the study are also discussed.",SCOPUS_ID:85077698506,Social factors in the usage continuance of instant messaging for group collaboration,2-s2.0-85077698506,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721448'}]",,,532-538,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077698506,2,,cp,Conference Paper
,Incubation Effect | LSTM | Physics Playground,0,Talandron-Felipe M.,"© 2019 International Conference on Computers in Education, Proceedings.All right reserved. Incubation Effect (IE) refers to the phenomenon where one gets stuck in a problem-solving activity, decides to take a break, and afterwards revisits the unsolved problem and eventually solves it. While studies on IE were all limited to traditional classroom activities, this research aimed to continue the study of IE in the context of a computer-based learning environment and find features that would predict the incidence of revisiting an unsolved problem and its positive outcome. A prior IE model was developed using a logistic regression but the hand-crafted features used were from aggregated data and do not reflect specific characteristics of students’ actions. Further analysis was conducted in this study and used a deep learning technique which significantly improved the performance of the IE model. In order to interpret the learned features of the neural network, a combination of dimension reduction, visualization technique, and clustering were used. It was found that the coarse-grained features are consistent with the fine-grained features but action level features were also discovered which provided more evidence that there was an improvement on how students tried to solve the problem after incubation.",SCOPUS_ID:85077693195,Leveraging LSTM in the fine-grained analysis of the Incubation Effect in Physics Playground,2-s2.0-85077693195,PCIEERD,undefined,"Philippine Council for Industry, Energy, and Emerging Technology Research and Development",0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721431'}]",,,12-21,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077693195,1,,cp,Conference Paper
,Digital games | English proficiency | Filipino learners | Reading comprehension | Second language learning | Teacher’s guide,0,Moreno M.,"© ICCE 2019 - 27th International Conference on Computers in Education, Proceedings. All rights reserved. English proficiency is vital in today’s global employment market. Digital games have been shown to help improve learners’ language competencies. However, it is sometimes difficult for teachers to maximize digital games as educational resources. In this paper, we discuss the development of a teacher’s guide as a companion to the digital games Ibigkas! and Learning Likha. Both games are intended to help improve the English proficiency of Filipino learners from 9 to 12 years old.",SCOPUS_ID:85077691083,The development of a teacher’s guide for English proficiency games,2-s2.0-85077691083,CHED,undefined,Commission on Higher Education,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721448'}]",,,86-93,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077691083,2,,cp,Conference Paper
,Code reading strategies | Debugging code reading patterns | Eye tracking | Sequential analysis,0,Tablatin C.,"© ICCE 2019 - 27th International Conference on Computers in Education, Proceedings. All rights reserved. Code reading is a prerequisite of program comprehension which is a fundamental task in software development. Strategies employed on code reading affect the programmer’s success rate of understanding tasks such as debugging. However, there is still limited knowledge about the code reading strategies used by students while performing bug finding task. In this paper, the author describes a summary of her research on novice programmer debugging skills using eye tracking data as a methodology. Eye tracking data were extracted and analyzed using visual effort metrics and sequential analysis of scanpaths using a clustering algorithm to determine common code reading patterns. The author’s research findings revealed differences on the code reading patterns and code reading strategies of high and low performing students. Empirical evaluation on the effectiveness of the strategies used by high performing students was also conducted which suggests that by teaching these strategies to students, improved debugging performance can be observed.",SCOPUS_ID:85077689993,Exploring common code reading strategies in debugging,2-s2.0-85077689993,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721448'}]",,,756-757,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077689993,2,,cp,Conference Paper
,Eye-tracking | Problem-solving | Psychology of Mathematics Education | Reasoning,0,Garcia E.,"© 2019 International Conference on Computers in Education, Proceedings.All right reserved. Twenty-four (24) Grade-11 senior high school students under the STEM track from a private university located in Quezon City took part in this study. Of the 24 participants who took the pre-test, only 23 proceeded with the eye-tracking test, where only 19 data were deemed treatable due to technical issues. This study examined different instantiations of mathematical blindness thru the lens of the Tripartite theory and with the help of the eye-tracking method that collected empirical data and aided in the investigation on how these instantiations manifested in participants’ mathematics problem-solving, particularly problems involving quadratic equations, ratio and proportion, geometry, and concept of speed. Other than the answers, solutions, and interviews recorded, quantifiable data were also extracted from the eye-tracker in addition to gaze movement and heat maps. Three instantiations of mathematical blindness were characterized in this study: (1) The Einstellung effect; (2) spurious correlation; and (3) intuitive rule. Among the three, the predominant instantiation of mathematical blindness observed was Spurious correlation.",SCOPUS_ID:85077683021,Characterization of different instantiations of mathematical blindness,2-s2.0-85077683021,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721431'}]",,,141-145,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077683021,1,,cp,Conference Paper
,Blended learning experience | Feedback mining system | Student feedback | Student learning experience | Text mining,0,Celestial-Valderama A.,"© ICCE 2019 - 27th International Conference on Computers in Education, Proceedings. All rights reserved. In most organizations, surveys are conducted for copious objectives. Surveys are traditions of collecting data that has become the voice of the customer relayed and conveyed anonymously or blatantly. Various learning institutions, mostly universities at large, has made it customary to allow students answer surveys intended to collect views on their overall assessment covering their satisfaction in the entire course as the semester concludes. In Jose Rizal University, student feedback is collected in various survey formats. One of which is called the Canvas Learning Experience survey that provides opportunity to the learners to comment on the proficiency of the implementation of the blended learning course. It seeks student comments on specific areas for improvement in the teaching and learning process. The conveyance of whether these students are immensely satisfied with their learning environment and experience matters mostly to the university treating them as customers and partners. One of the significant objectives of this research is to develop a blended learning feedback mining system that empowers the educational institution administration to inspect at the reproaches of their clients’ learning experience in the blended learning course and thus upgrade them accordingly. The conceptual framework of this research centers on catching and investigating criticism information from students’ perceptions basing from their qualitative comments using text mining. In turn, the framework will give the fundamental structure in the implementation of the feedback mining system that the university may utilize for addressing the results of the Canvas Experience survey.",SCOPUS_ID:85077680030,Mining student experience and feedback in social and professional issues in iT: Basis for understanding blended learning,2-s2.0-85077680030,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721448'}]",,,793-796,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077680030,2,,cp,Conference Paper
,Challenges | Computer Education | Higher Education | Open-Source Software | OSS Benefits | Value-Based Adoption,0,Trapero H.,"© ICCE 2019 - 27th International Conference on Computers in Education, Proceedings. All rights reserved. Open-Source Software (OSS) is computer software developed in a public collaborative manner with source codes available under a license that guarantees certain freedom. This includes the right to study, modify, and distribute the source code to any individual for any purpose without constraint or undue cost. It has gained much importance in the academic sector because it is best used for research, derivatives, analytics, statistics, and even the use of the Linux operating system is highly recommended. Academic institutions, particularly in emerging economies like the Philippines, are also under pressure to look for the lowest-cost solutions while having an effective course provision. However, several issues and challenges are identified, especially when it comes to its usability in terms of learnability, efficiency of use, memorability, and subjective satisfaction, among others. Thus, this study was conducted to investigate the different factors that can influence students to appreciate the open-source software’s value and adoption in the classroom setting. The results of the study showed that enjoyment, technicality, and attribute have a significant correlation with perceived value while usefulness has no significant correlation with perceived value. Also, perceived value has a significant correlation with software adoption intention, while gender and age have no significant correlation with adoption intention. Therefore, enjoyment, technicality, and attribute are predictors of one’s perceived value of OSS. The students’ OSS adoption intention is also determined through the positive valuation of it which leads to adoption or continuous usage of it, whether for personal use or classroom use.",SCOPUS_ID:85077675706,Value-based adoption of open-source software in higher education: An empirical investigation,2-s2.0-85077675706,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721448'}]",,,237-245,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077675706,2,,cp,Conference Paper
,Adaptive learning | Educational game | Situated learning theory | Stealth assessment,0,Buenviaje W.,"© 2019 International Conference on Computers in Education, Proceedings.All right reserved. Situated learning theory argues that learning is embedded within an activity, context, and culture. It posits that students are more likely to learn if they have an exposure to the authentic context of the learning environment. Based loosely on this theory, Shape Shape Hooray is an adaptive educational game that aims to teach basic 3D geometric shapes by allowing basic education students associate 3D shapes to daily objects. As an adaptive game, this paper discusses the paths developed for different kinds of players (no prior/low prior, average, and high prior knowledge). A usability test was conducted to which a generally positive score was acquired. Various kinds of metrics (task success and task indicators) and the Systems Usability Scale (SUS) were also tested to find out the game’s impact on user experience and to evaluate possible design directions and improvements for Shape Shape Hooray. We found that respondents were highly impressed with the game’s usability, scoring 81.5 on the SUS. Future work will include educators’ testing on the game’s usability, testing of learning to students, and consultations with programmers for expert validation.",SCOPUS_ID:85077728109,A usability study on shape shape hooray: An adaptive educational game associating 3D geometric shapes to daily objects,2-s2.0-85077728109,,undefined,,0,False,,Conference Proceeding,2019-11-19,,"[{'@_fa': 'true', '$': '9789869721431'}]",,,549-554,"ICCE 2019 - 27th International Conference on Computers in Education, Proceedings",https://api.elsevier.com/content/abstract/scopus_id/85077728109,1,,cp,Conference Paper
